quantity tenure age product snowshoes
10 32 47 winterSports 1
12 40 59 waterSports 0
30 31 53 winterSports 1
8 22 63 winterSports 1
6 24 24 winterSports 1
8 54 68 mountainSports 0
8 43 60 winterSports 1
8 17 21 mountainSports 0
4 24 63 winterSports 1
6 23 20 mountainSports 0
10 38 43 mountainSports 1
14 39 68 winterSports 1
8 35 36 winterSports 1
12 41 58 winterSports 1
10 26 56 mountainSports 1
10 45 28 winterSports 1
14 32 68 winterSports 1
8 32 31 waterSports 0
8 24 20 mountainSports 0
12 41 60 waterSports 0
14 34 52 mountainSports 1
14 37 60 winterSports 1
10 37 42 winterSports 1
4 35 64 winterSports 1
10 41 36 mountainSports 0
6 36 49 winterSports 1
10 16 29 winterSports 1
6 23 35 mountainSports 0
10 37 49 winterSports 1
10 31 43 waterSports 0
24 26 46 winterSports 1
14 39 63 winterSports 1
10 50 68 waterSports 0
10 20 65 mountainSports 1
8 39 56 winterSports 1
8 27 46 mountainSports 1
16 34 68 winterSports 1
14 29 67 waterSports 0
4 23 25 winterSports 0
8 33 61 winterSports 1
10 21 35 mountainSports 0
10 41 62 winterSports 1
16 37 62 mountainSports 1
8 28 32 winterSports 1
24 38 30 mountainSports 1
8 18 20 winterSports 0
14 38 67 winterSports 1
8 22 20 winterSports 0
8 39 68 mountainSports 1
20 47 61 winterSports 0
12 32 43 winterSports 0
6 32 40 winterSports 0
12 39 47 winterSports 1
8 25 44 winterSports 1
8 26 48 winterSports 0
4 21 20 winterSports 0
10 36 59 winterSports 0
6 27 53 mountainSports 0
6 29 52 winterSports 0
8 23 44 winterSports 0
8 23 65 mountainSports 1
6 24 20 winterSports 0
8 22 49 winterSports 1
12 44 49 winterSports 0
6 18 65 winterSports 0
14 40 36 mountainSports 0
2 23 19 winterSports 0
8 27 30 winterSports 0
14 41 45 mountainSports 0
6 30 33 waterSports 0
16 45 66 waterSports 0
6 32 33 winterSports 0
6 31 42 winterSports 1
20 36 66 winterSports 1
8 16 60 winterSports 0
6 30 20 winterSports 0
16 58 52 waterSports 0
8 22 44 winterSports 0
10 33 61 mountainSports 0
6 12 20 winterSports 0
6 56 57 waterSports 0
4 44 33 winterSports 0
6 20 36 winterSports 1
8 25 22 waterSports 0
12 35 48 winterSports 0
12 42 37 winterSports 0
14 36 36 winterSports 1
10 33 45 waterSports 0
4 23 21 waterSports 0
6 33 41 winterSports 0
12 30 47 winterSports 0
8 14 63 winterSports 1
8 27 68 mountainSports 0
12 43 60 mountainSports 0
8 30 62 winterSports 0
10 45 35 mountainSports 0
8 46 64 waterSports 0
6 32 42 waterSports 0
2 16 20 winterSports 0
16 40 55 winterSports 1
6 27 46 winterSports 1
12 22 45 winterSports 0
18 39 46 winterSports 1
6 18 43 winterSports 0
10 45 50 winterSports 0
6 23 20 mountainSports 0
8 43 31 winterSports 0
10 28 58 mountainSports 0
4 42 65 winterSports 0
10 23 42 mountainSports 0
14 37 61 winterSports 0
10 39 33 mountainSports 0
10 37 60 winterSports 0
8 38 38 mountainSports 0
12 30 35 mountainSports 0
6 32 50 waterSports 0
4 18 59 winterSports 0
4 26 57 mountainSports 0
10 40 54 winterSports 1
6 27 48 mountainSports 0
8 30 35 winterSports 1
14 43 45 winterSports 1
8 33 54 winterSports 0
4 18 21 mountainSports 0
6 29 36 waterSports 0
12 48 38 winterSports 0
10 37 59 mountainSports 1
12 54 64 winterSports 0
12 25 64 mountainSports 0
10 44 27 mountainSports 0
10 29 46 mountainSports 0
6 27 31 winterSports 1
10 34 68 mountainSports 0
8 16 53 winterSports 1
12 26 46 winterSports 0
4 23 22 winterSports 0
10 30 61 winterSports 0
6 28 41 winterSports 0
4 29 27 waterSports 0
4 27 57 winterSports 0
6 19 29 winterSports 0
10 23 52 winterSports 0
10 34 22 winterSports 0
4 31 21 mountainSports 0
22 53 59 mountainSports 1
12 37 38 winterSports 0
8 39 62 mountainSports 0
6 56 52 winterSports 0
8 44 53 mountainSports 0
10 25 31 winterSports 0
8 35 53 mountainSports 0
16 37 52 winterSports 0
10 32 63 mountainSports 0
8 26 43 winterSports 0
12 29 59 winterSports 0
4 28 21 mountainSports 0
12 52 58 winterSports 1
6 26 59 mountainSports 1
8 40 67 winterSports 1
14 46 55 mountainSports 1
4 23 42 winterSports 0
6 33 34 winterSports 0
16 31 65 winterSports 1
12 43 63 winterSports 1
6 34 68 winterSports 0
8 25 64 winterSports 0
10 30 62 mountainSports 1
6 43 49 winterSports 0
8 21 32 winterSports 0
12 24 58 winterSports 1
8 23 60 waterSports 0
8 29 35 mountainSports 0
6 28 65 winterSports 0
12 45 50 winterSports 0
4 18 22 winterSports 0
12 43 54 mountainSports 0
22 44 42 winterSports 1
8 36 49 winterSports 1
6 30 28 winterSports 0
10 31 31 winterSports 0
22 35 55 winterSports 1
10 36 68 winterSports 1
6 29 60 winterSports 1
10 33 33 mountainSports 0
6 34 53 winterSports 0
18 32 62 winterSports 1
10 35 42 winterSports 1
12 25 21 winterSports 0
12 43 66 winterSports 1
6 27 34 mountainSports 0
6 21 25 mountainSports 0
12 19 46 waterSports 0
10 12 24 winterSports 0
6 30 21 mountainSports 0
16 32 47 mountainSports 1
8 18 25 winterSports 0
10 36 61 winterSports 0
8 23 21 mountainSports 0
8 20 67 winterSports 1
10 48 31 winterSports 0
10 35 64 mountainSports 1
6 23 21 winterSports 0
18 38 58 winterSports 1
18 32 44 waterSports 0
4 24 35 winterSports 1
4 14 21 waterSports 0
6 12 30 mountainSports 0
6 26 43 mountainSports 1
4 32 50 winterSports 0
16 32 47 waterSports 0
14 72 50 waterSports 1
6 19 67 winterSports 1
4 21 21 winterSports 0
8 32 49 mountainSports 0
4 27 19 winterSports 0
8 36 36 winterSports 0
8 36 42 mountainSports 0
12 38 63 waterSports 1
8 36 55 winterSports 1
12 35 59 winterSports 1
6 29 53 winterSports 0
12 35 59 winterSports 1
8 38 31 winterSports 0
12 30 42 waterSports 0
8 22 65 winterSports 1
6 24 24 waterSports 0
12 39 62 winterSports 0
8 40 65 winterSports 0
8 27 63 waterSports 1
6 30 56 waterSports 0
8 24 49 waterSports 1
8 41 57 winterSports 0
8 37 23 mountainSports 0
14 50 58 winterSports 1
16 33 28 winterSports 0
4 34 35 winterSports 0
16 49 57 winterSports 1
10 34 65 winterSports 1
8 34 62 mountainSports 1
6 46 62 winterSports 1
10 57 53 winterSports 1
6 33 44 winterSports 0
10 41 44 winterSports 0
10 29 62 waterSports 1
6 40 50 winterSports 0
14 40 66 winterSports 0
8 27 49 winterSports 0
10 26 20 winterSports 0
10 23 63 waterSports 1
10 34 54 mountainSports 0
14 26 65 mountainSports 1
8 16 59 winterSports 0
6 39 34 winterSports 0
8 33 32 winterSports 0
4 23 59 mountainSports 1
4 20 24 mountainSports 1
6 23 22 waterSports 0
6 30 52 mountainSports 1
12 32 64 mountainSports 0
8 44 34 winterSports 0
12 31 68 waterSports 1
8 50 61 winterSports 0
8 44 68 waterSports 1
6 43 34 winterSports 0
