age price stores metro trails
13 40.5 5 492.2313 7293.245507578358
13.2 29.3 1 170.1289 7765.972275945905
27.5 41 7 394.0173 8348.348126551831
1.5 49.7 7 23.38284 6766.0037506332665
19.1 34 5 461.1016 7417.2022769876
21.2 27.7 3 2185.128 6059.995200829086
0 44 6 208.3905 7060.929281498594
2.6 31.1 3 1554.25 6132.572854635264
2.3 45.4 6 184.3302 6373.681980143276
4.7 44.8 9 387.7721 7242.002088423855
2 25.6 1 1455.798 5499.177726567474
33.5 23.5 2 1978.671 6115.814031497852
15 34.4 7 383.2805 6343.672325827907
30.1 55.3 3 718.2937 6851.651810819547
5.9 56.3 9 90.45606 6570.767852448237
19.2 32.9 5 461.1016 6674.9607588169765
16.6 51 6 323.6912 5872.978240776155
13.9 44.5 5 289.3248 7086.090367433088
37.7 37 0 490.3446 7516.5331647285675
3.4 54.4 7 56.47425 7324.9041929021905
17.5 24.5 5 395.6747 5660.876098783616
12.6 42.5 7 383.2805 6478.055958335747
26.4 38.1 6 335.5273 8121.734378591846
18.2 21.8 3 2179.59 6644.273406254317
12.5 34.1 4 1144.436 5433.193748550428
34.9 28.5 4 567.0349 6498.732271451974
16.7 16.7 0 4082.015 3983.294288961487
33.2 46.1 10 121.7262 7364.468348195719
2.5 36.9 4 156.2442 6701.84802538835
38 35.7 0 461.7848 6176.311691913819
16.5 23.2 3 2288.011 5150.704336579734
38.3 38.4 0 439.7105 7577.225083046645
20 29.4 3 1626.083 5862.836429501513
16.2 55 5 289.3248 6538.789185075411
14.4 50.2 1 169.9803 6743.243532712713
10.3 24.7 0 3079.89 5732.545202013258
16.4 53 5 289.3248 6681.036964228914
30.3 19.1 0 1264.73 6694.175285831712
16.4 24.7 2 1643.499 6867.257231885346
21.3 42.2 4 537.7971 7094.339335250202
35.4 78 9 318.5292 6673.690663195173
8.3 42.8 5 104.8101 7126.182216347101
3.7 41.6 6 577.9615 6400.935729587655
15.6 27.3 2 1756.411 6598.397599261362
13.3 42 7 250.631 6923.671295160954
15.6 37.5 2 752.7669 7688.289858311026
7.1 49.8 10 379.5575 6522.735407357446
34.6 26.9 5 272.6783 6554.4486971034885
13.5 18.6 0 4197.349 3735.940425452618
16.9 37.7 4 964.7496 6431.910434983253
12.9 33.1 1 187.4823 6728.1392042353345
28.6 42.5 6 197.1338 5961.7150948498775
12.4 31.3 2 1712.632 5792.9465932382955
36.6 38.1 8 488.8193 6319.693210021077
4.1 62.1 7 56.47425 7958.0187503456755
3.5 36.7 3 757.3377 5922.584372498671
15.9 23.6 3 1497.713 6749.586324996954
13.6 19.2 0 4197.349 3178.2819548390794
32 12.8 0 1156.777 6455.6457228241525
25.6 15.6 0 4519.69 3990.6508305189336
39.8 39.6 2 617.7134 6348.124780925413
7.8 38.4 5 104.8101 7544.643449045907
30 22.8 5 1013.341 6311.169233171538
27.3 36.5 6 337.6016 6155.022255419308
5.1 35.6 2 1867.233 5448.715356524967
31.3 30.9 5 600.8604 7868.054621114054
31.5 36.3 9 258.186 6871.714818025494
1.7 50.4 5 329.9747 6385.0384847007435
33.6 42.9 0 270.8895 6973.5006888897005
13 37 2 750.0704 6831.890550625995
5.7 53.5 9 90.45606 7839.1936016381005
33.5 46.6 8 563.2854 7565.4006508388175
34.6 41.2 0 3085.17 4662.30388763804
0 37.9 0 185.4296 7904.8299413416635
13.2 30.8 2 1712.632 5233.77377223237
17.4 11.2 1 6488.021 15
4.6 53.7 6 259.6607 6689.140624555643
7.8 47 5 104.8101 6791.200831497108
13.2 42.3 5 492.2313 5190.806122030392
4 28.6 3 2180.245 5765.639029635322
18.4 25.7 3 2674.961 4392.532429109938
4.1 31.3 3 2147.376 5238.81355077535
12.2 30.1 1 1360.139 4957.63393806766
3.8 60.7 5 383.8624 7299.819902583364
10.3 45.3 1 211.4473 8393.990120077571
0 44.9 9 338.9679 6334.860331267845
1.1 45.1 6 193.5845 6998.768090170502
5.6 24.7 0 2408.993 6544.795786612781
32.9 47.1 10 87.30222 7826.764639165009
41.4 63.3 8 281.205 8349.37481661022
17.1 40 4 967.4 6408.919000240354
32.3 48 10 109.9455 7042.741029288972
35.3 33.1 7 614.1394 6357.611606139598
17.3 29.5 4 2261.432 6309.750204421356
14.2 24.8 1 1801.544 4790.148951392026
15 20.9 2 1828.319 5888.638681361937
18.2 43.1 1 350.8515 6910.165206705283
20.2 22.8 3 2185.128 6950.686602177586
15.9 42.1 5 289.3248 6567.647606571634
4.1 51.7 5 312.8963 5912.932804080064
33.9 41.5 7 157.6052 7272.706491889865
0 52.2 1 274.0144 6980.932458328025
5.4 49.5 5 390.5684 6317.909858189336
21.7 23.8 0 1157.988 6341.845021983912
14.7 30.5 2 1717.193 5573.901096166127
3.9 56.8 8 49.66105 6723.946250551808
37.3 37.4 8 587.8877 7091.512630194079
0 69.7 6 292.9978 6759.043221711649
14.1 53.3 5 289.3248 5703.9281396757
8 47.3 9 132.5469 5263.775057408815
16.3 29.3 0 3529.564 3800.7016172391573
29.1 40.3 4 506.1144 7832.948737883502
16.1 12.9 0 4066.587 4337.631447860245
18.3 46.6 10 82.88643 8028.5411211848095
0 55.3 0 185.4296 7776.660350997444
16.2 25.6 3 2103.555 5657.912489295675
10.4 27.3 4 2251.938 4247.124083251569
40.9 67.7 8 122.3619 7283.961573315208
32.8 38.6 9 377.8302 8043.954974493514
6.2 31.3 1 1939.749 3185.7960535900284
42.7 35.3 6 443.802 6312.80410869079
16.9 40.3 4 967.4 7188.692944928687
32.6 24.7 1 4136.271 4059.916652744284
21.2 42.5 4 512.5487 7359.429578717708
37.1 31.9 1 918.6357 6776.3149118611345
13.1 32.2 4 1164.838 6622.1434570444235
14.7 23 2 1717.193 5778.167241998064
12.7 37.3 1 170.1289 6453.0039443533115
26.8 35.5 5 482.7581 5965.718548610501
7.6 27.7 3 2175.03 5399.61672061453
12.7 28.5 1 187.4823 6786.608880934748
30.9 39.7 9 161.942 6472.098929787798
16.4 41.2 5 289.3248 7289.53950986994
23 37.2 6 130.9945 7239.8445560756945
1.9 40.5 7 372.1386 7954.557405382591
5.2 22.3 0 2408.993 4383.491360685422
18.5 28.1 3 2175.744 5009.051298182625
13.7 15.4 0 4082.015 3681.5969967592587
5.6 50 9 90.45606 6175.658860182152
18.8 40.6 7 390.9696 6707.852990812339
8.1 52.5 5 104.8101 6655.818562486677
6.5 63.9 9 90.45606 5654.835904199507
